Unnamed: 0,indiv_mean_r2,global_r2,global_p,global_q,highlight
Cytoplasm_AreaShape_Zernike_9_9,0.63,0.6198502709817151,3.43756722256367e-29,1.031270166769101e-28,True
Cytoplasm_Correlation_Correlation_Mito_AGP,0.6044174149011813,0.4765369460790778,2.0783518810039555e-28,5.223965538739672e-28,False
Cytoplasm_Correlation_K_DNA_AGP,0.5755796381015762,0.7197730512156122,1.8282599942717898e-33,1.062676121670478e-32,False
Cytoplasm_Correlation_K_DNA_RNA,0.2199785802874932,0.6518336997785819,2.0550548508050943e-30,7.078522263884214e-30,False
Cytoplasm_Correlation_Overlap_DNA_AGP,0.5763700869060335,0.1963157541880413,2.5841528652591505e-17,2.794490889175592e-17,False
Cytoplasm_Correlation_Overlap_DNA_ER,0.5019135650041894,0.568324070145062,1.8164519372014287e-28,4.8265722902780815e-28,False
Cytoplasm_Correlation_Overlap_ER_AGP,0.2528259096644102,0.5196302224251893,6.341986937966685e-23,9.830079753848361e-23,False
Cytoplasm_Correlation_Overlap_Mito_AGP,0.5383739542509056,0.5719678609519615,1.744994430670173e-28,4.773073001539002e-28,False
Cytoplasm_Granularity_2_AGP,0.5758719420640551,-0.0689781757440084,1.6533466719921932e-14,1.6533466719921932e-14,False
Cytoplasm_Intensity_IntegratedIntensityEdge_AGP,0.2646908426006015,0.5480603231586626,2.2397570037020154e-27,4.9594619367687486e-27,False
Cytoplasm_RadialDistribution_MeanFrac_RNA_4of4,0.3898731462166634,0.5408217442275705,1.6389952346632813e-22,2.3816649503700804e-22,False
Cytoplasm_RadialDistribution_RadialCV_AGP_1of4,0.62,0.6507296733967234,7.399423956779977e-32,3.621823305160725e-31,True
Cytoplasm_RadialDistribution_RadialCV_DNA_2of4,0.1393177436428683,0.5120593684715378,6.43792420270441e-26,1.2473478142739795e-25,False
Cytoplasm_RadialDistribution_RadialCV_RNA_1of4,0.420781125583082,0.6484431296297546,5.053339945328092e-30,1.5665353830517082e-29,False
Cytoplasm_RadialDistribution_RadialCV_RNA_4of4,0.2308485197962897,0.3808079120549414,7.931120830669325e-26,1.5052943617392802e-25,False
Nuclei_AreaShape_Eccentricity,0.5207300053570069,0.6846008032714163,4.597882100725911e-36,4.7511448374167737e-35,False
Nuclei_AreaShape_Zernike_1_1,0.1954973998964713,0.2905844023321845,1.056458756921322e-22,1.6106666294046385e-22,False
Nuclei_AreaShape_Zernike_2_2,0.2720082409379218,0.3850532668393822,4.4009959073797135e-25,7.87101191127526e-25,False
Nuclei_AreaShape_Zernike_4_2,0.1079609622345368,0.4297002025429299,8.887185246268141e-22,1.2335943700043836e-21,False
Nuclei_AreaShape_Zernike_5_3,0.1179035568836241,0.3721457193853984,2.033420032340329e-19,2.3638507875956333e-19,False
Nuclei_AreaShape_Zernike_6_0,0.3731860129874373,0.625146011594875,4.374610372077685e-28,1.070628327903223e-27,False
Nuclei_AreaShape_Zernike_6_2,0.357571893934617,0.6552129287098136,1.5791081044594192e-30,5.8742821485890394e-30,False
Nuclei_AreaShape_Zernike_7_1,0.1702296775908627,0.7346176575167338,1.6442487968208844e-34,1.3901376191303845e-33,False
Nuclei_AreaShape_Zernike_9_5,0.2416593777002381,-0.1513924896652898,2.431593811157466e-15,2.485035433380707e-15,False
Nuclei_Correlation_Correlation_ER_AGP,0.1017496101113213,0.6157689255159939,6.736454352416027e-27,1.4569540808713734e-26,False
Nuclei_Correlation_Correlation_ER_RNA,0.3095872612987004,0.5400206794134861,1.2148751719541451e-26,2.456160673733381e-26,False
Nuclei_Correlation_Correlation_Mito_AGP,0.4167301962203315,0.5299166055169977,1.0387507980682843e-27,2.4150956055087607e-27,False
Nuclei_Correlation_Correlation_Mito_RNA,0.3350143242056225,0.3421691619645032,1.6439142094836961e-19,1.9600515574613298e-19,False
Nuclei_Correlation_Correlation_RNA_AGP,0.5593062910197135,0.6478226253057835,2.2111095161595308e-32,1.1424065833490908e-31,False
Nuclei_Correlation_K_AGP_ER,0.4390701882756045,0.6327098536568827,4.585783182069536e-28,1.0935329126473508e-27,False
Nuclei_Correlation_Overlap_DNA_RNA,0.246346151606201,0.2559872942583003,1.5456334826984777e-21,2.113881086631741e-21,False
Nuclei_Correlation_Overlap_ER_AGP,0.5460621612249458,0.5063026570500644,4.2046250918479295e-24,6.741898854169956e-24,False
Nuclei_Granularity_1_DNA,0.3747177126666595,0.524995496374818,1.1065293033102647e-26,2.286827226841214e-26,False
Nuclei_Granularity_2_ER,0.5173456765521273,0.1388763222235806,7.790467655563916e-18,8.62516061866005e-18,False
Nuclei_Granularity_3_AGP,0.4113489974796954,0.2873760911341885,2.222428660376924e-21,2.9526552202150558e-21,False
Nuclei_Granularity_3_DNA,0.3405921988564925,0.2266092806913584,3.6498898049902286e-21,4.714440998112379e-21,False
Nuclei_Granularity_3_Mito,0.3178849444295828,0.2215096171421525,4.056635304509121e-21,5.098203828639841e-21,False
Nuclei_Granularity_4_DNA,0.1122294083559334,0.2300097833331514,1.3791789791824468e-19,1.6657616242073709e-19,False
Nuclei_Granularity_5_DNA,0.62,0.7555929248392284,8.819552293690608e-37,1.0252729541415332e-35,True
Nuclei_Intensity_IntegratedIntensity_DNA,0.3581429334923794,0.5663321696559174,2.6207254036212592e-24,4.2759203953820544e-24,False
Nuclei_Intensity_MassDisplacement_DNA,0.442957121186958,0.1977139395667715,3.273480901411905e-16,3.420603638554013e-16,False
Nuclei_Intensity_MassDisplacement_RNA,0.620362381555908,0.5701570829636418,1.4377130318073103e-28,4.05173672600242e-28,False
Nuclei_RadialDistribution_FracAtD_Mito_3of4,0.8199999999999998,0.819798273007145,4.2771089364362565e-40,7.875873905558491e-39,True
Nuclei_RadialDistribution_FracAtD_RNA_3of4,0.3394293440910177,0.3032283666926284,1.6176402800264482e-24,2.68643832218678e-24,False
Nuclei_RadialDistribution_MeanFrac_DNA_3of4,0.3671027716939985,0.5601122420434503,8.585408828897695e-25,1.4785981871990475e-24,False
Nuclei_RadialDistribution_MeanFrac_Mito_3of4,0.9000000000000005,0.6240210797882308,1.729406247426881e-30,6.185953115796152e-30,True
Nuclei_RadialDistribution_MeanFrac_RNA_3of4,0.3855133291887228,0.5155836659328692,4.747155554828979e-23,7.482804518628729e-23,False
Nuclei_RadialDistribution_RadialCV_AGP_3of4,0.7000000000000002,0.639584573074752,1.3345297715974255e-28,3.8784771487050175e-28,True
Nuclei_RadialDistribution_RadialCV_DNA_1of4,0.75,0.6868931841899828,1.0974462837393147e-34,1.0206250438775629e-33,True
Nuclei_RadialDistribution_RadialCV_DNA_4of4,0.3247250389956637,0.055818428377282,1.9377454067244115e-16,2.0713830209812675e-16,False
Nuclei_RadialDistribution_RadialCV_ER_1of4,0.4183376453681859,0.5228177183067533,3.9797166095631344e-30,1.2762539472047289e-29,False
Nuclei_RadialDistribution_RadialCV_Mito_1of4,0.66,0.8837251357422323,2.709373825632038e-50,1.2598588289188975e-48,True
Nuclei_RadialDistribution_RadialCV_RNA_1of4,0.1386928703016489,-0.0971200651956196,8.860112932467968e-18,9.694005914347308e-18,False
Nuclei_RadialDistribution_RadialCV_RNA_3of4,0.3686111071617733,0.2356905569947095,6.957333323225371e-21,8.627093320799458e-21,False
